# hippocampal_pathways.tsv — CA1 afferent topology, distilled from the
# Bezaire, Raikov, Burk, Vyas & Soltesz (2016) eLife 5:e18566 full-scale
# CA1 model (github.com/mbezaire/ca1), datasets cellnumbers_101 / conndata_430 /
# syndata_120 (the model's own defaults in setupfiles/parameters.hoc).
# Regenerate with:  fiber-morpho-input --bezaire <path-to-ca1>/datasets
#
# nconv   presynaptic cells contacting one postsynaptic cell
# nsyn    synapses per such connection;  ntotal = nconv * nsyn
# region  section list to draw from;  dlo/dhi  path-distance window (um) from soma
# w       peak conductance per synapse (uS);  tau1/tau2 rise/decay (ms);  erev (mV)
# A blank/zero nconv means the model defines the synapse but makes no connection.
post	pre	region	dlo	dhi	nconv	nsyn	ntotal	w	tau1	tau2	erev	src
bistratifiedcell	ca3cell	dendrite_list	50	200	5782	2	11564	0.00015	2	6.3	0	extrinsic
bistratifiedcell	eccell	dendrite_list	200	1000	432	2	864	0.00015	2	6.3	0	extrinsic
bistratifiedcell	bistratifiedcell	dendrite_list	50	200	16	10	160	0.00051	0.287	2.67	-60	local
bistratifiedcell	cckcell	dendrite_list	-1	50	12	8	96	0.0007	0.432	4.49	-60	local
bistratifiedcell	cckcell	soma_list	-1	1000	12	8	96	0.0007	0.432	4.49	-60	local
bistratifiedcell	ivycell	dendrite_list	50	200	24	10	240	7.7e-05	2.9	3.1	-60	local
bistratifiedcell	olmcell	apical_list	200	1000	8	10	80	0.00011	0.6	15	-60	local
bistratifiedcell	pyramidalcell	apical_list	100	1000	366	3	1098	0.0019	0.11	0.25	0	local
bistratifiedcell	pvbasketcell	soma_list	-1	1000	39	1	39	0.0029	0.18	0.45	-60	local
bistratifiedcell	scacell	dendrite_list	50	200	1	6	6	0.0006	0.419	4.99	-60	local
cckcell	ca3cell	dendrite_list	50	200	2000	2	4000	0.00065	2	6.3	0	extrinsic
cckcell	eccell	dendrite_list	200	1000	559	2	1118	0.00065	2	6.3	0	extrinsic
